Date,close,kaipan,max,min,final
4/28/2015,24.5,27.2,27.2,27.2,24.75
4/29/2015,23.56,26.8,26.8,26.8,26.7
4/30/2015,26.6,26.6,26.6,26.6,26.6
5/1/2015,23.56,26.8,26.8,26.8,26.7
5/2/2015,23.56,26.8,26.8,26.8,26.7
5/3/2015,23.56,26.8,26.8,26.8,26.7
5/4/2015,28.9,28.9,28.9,28.9,28.9
5/5/2015,28.9,28.9,28.9,28.9,28.9
5/6/2015,28.9,28.9,28.9,28.9,28.9
5/7/2015,26.4,25,26.8,25,25.44
5/8/2015,23.94,23.94,23.94,23.94,23.94
5/9/2015,23.94,23.94,23.94,23.94,23.94
5/10/2015,23.94,23.94,23.94,23.94,23.94
5/11/2015,24.1,24.8,24.8,24.8,24.09
5/12/2015,23.8,24.4,24.4,24.4,23.65
5/13/2015,23.8,23.8,23.8,23.8,23.8
5/14/2015,22.5,22.8,23.3,22.8,22.53
5/15/2015,24,24,24,24,24
5/16/2015,24,24,24,24,24
5/17/2015,24,24,24,24,24
5/18/2015,24.9,23,24.9,23,24.76
5/19/2015,23.9,24.5,24.5,24.5,23.95
5/20/2015,23.5,24.9,24.9,24.9,23.78
5/21/2015,23.5,23.5,23.5,23.5,23.5
5/22/2015,23.5,23.5,23.5,23.5,23.5
5/23/2015,23.5,23.5,23.5,23.5,23.5
5/24/2015,23.5,23.5,23.5,23.5,23.5
5/25/2015,23.5,23.5,23.5,23.5,23.5
5/26/2015,23.5,23.5,23.5,23.5,23.5
5/27/2015,23.5,23.5,23.5,23.5,23.5
5/28/2015,23.5,23.5,23.5,23.5,23.5
5/29/2015,23.5,23.5,23.5,23.5,23.5
5/30/2015,23.5,23.5,23.5,23.5,23.5
5/31/2015,23.5,23.5,23.5,23.5,23.5
6/1/2015,18.1,18,19.8,18,18.13
6/2/2015,19.6,19.6,19.6,19.6,19.6
6/3/2015,19.6,19.6,19.6,19.6,19.6
6/4/2015,23.3,23.3,23.3,23.3,23.3
6/5/2015,21.6,22,22,22,21.6
6/6/2015,21.6,22,22,22,21.6
6/7/2015,21.6,22,22,22,21.6
6/8/2015,21.6,22,22,22,21.6
6/9/2015,19,21.5,21.5,21.5,20.9
6/10/2015,17.9,17.9,17.9,17.9,17.9
6/11/2015,12.5,12.5,12.5,12.5,12.5
6/12/2015,12.5,12.5,16.3,12.5,12.5
6/13/2015,12.5,12.5,16.3,12.5,12.5
6/14/2015,12.5,12.5,16.3,12.5,12.5
6/15/2015,20,19.9,20,19.9,19.99
6/16/2015,19.9,21.8,21.8,21.8,19.99
6/17/2015,21.8,21.8,21.8,21.8,21.8
6/18/2015,19.6,23.8,23.8,23.8,21.66
6/19/2015,19.9,23,23,23,20.31
6/20/2015,19.9,23,23,23,20.31
6/21/2015,19.9,23,23,23,20.31
6/22/2015,19.9,23,23,23,20.31
6/23/2015,18,18,18,18,18
6/24/2015,16.2,18,18,18,16.2
6/25/2015,17.8,17.8,17.8,17.8,14.6
6/26/2015,17.26,17.26,17.26,17.26,17.26
6/27/2015,17.26,17.26,17.26,17.26,17.26
6/28/2015,17.26,17.26,17.26,17.26,17.26
6/29/2015,15.5,15.5,15.5,15.5,15.5
6/30/2015,15.5,15.5,15.5,15.5,15.5
7/1/2015,16,16,16,16,16
7/2/2015,16,16,16,16,16
7/3/2015,16,16,16,16,16
7/4/2015,16,16,16,16,16
7/5/2015,16,16,16,16,16
7/6/2015,16,16,16,16,16
7/7/2015,16,16,16,16,16
